,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-03-27,3,6.75,-0.5,0.75,0.11219041288831923,3900.204000711445,12.0,1.0,289.23699999999997,611.266,207.387,0.0,0.0,0.0,53.604,2750.032,0.0,0.0,0.0,
1,2014-03-28,4,6.5,0.0,0.5,0.098529411764706,10163.002000093464,1.0,0.0,4236.277,2473.703,3609.542,0.0,0.0,0.0,82.078,3931.055,0.0,0.0,5.052,
2,2014-03-29,5,7.25,0.75,1.25,0.10536994784876141,6309.348999500275,13.0,0.0,7537.341999999999,1701.2690000000002,1216.7680000000003,0.0,0.0,0.0,56.811,2374.0740000000005,101.11800000000001,12.11,22.289,
3,2014-03-30,6,6.0,0.2,0.5,0.08424917793204248,8849.08600068092,1.0,0.0,806.13,555.814,468.83,0.0,0.0,0.0,52.279,989.3290000000002,0.0,48.18900000000001,15.116999999999999,
4,2014-03-31,0,6.4,0.0,0.6,0.05202604881749266,3308.560000181199,1.0,0.0,904.1859999999999,757.233,434.72900000000004,11.04,0.0,17.189,42.879999999999995,442.668,721.2349999999999,0.0,0.0,
5,2014-04-01,1,6.0,0.6,0.25,0.21220884964155157,7788.4459998607645,2.0,0.0,1153.119,2875.17,484.746,0.0,11.03,0.0,50.617999999999995,2666.994,119.243,0.0,0.0,
6,2014-04-02,2,6.2,-0.2,0.6666666666666666,0.17551342511280876,14361.08599996566,3.0,0.0,1086.49,2444.4449999999993,1043.717,55.378,3.766,277.00600000000003,48.464,3102.3950000000004,25.71,0.0,0.0,
7,2014-04-03,3,5.8,0.0,0.2,0.27459454968428065,10642.40700125694,3.0,0.0,2429.6710000000003,2787.0979999999995,1089.4309999999998,262.118,0.0,968.523,69.762,4652.247,373.786,0.0,0.0,
8,2014-04-04,4,5.75,1.0,0.0,0.30441384180790965,5730.291999101639,8.0,3.0,945.1110000000001,923.731,464.841,0.0,0.0,525.137,47.761,1143.086,1679.078,0.0,0.0,
9,2014-04-05,5,6.2,0.0,0.4,0.09607279504587574,6488.527000188829,3.0,1.0,1875.4589999999998,524.6210000000001,1451.876,0.0,4.009,0.0,66.687,3194.527,224.12300000000002,0.0,0.0,
10,2014-04-06,6,6.5,0.25,0.75,0.14171918767507002,2051.835999965667,0.0,0.0,456.78100000000006,74.435,539.415,39.611000000000004,0.0,0.0,37.435,903.575,0.0,0.0,0.0,
11,2014-04-07,0,6.4,0.2,1.0,0.2991431792786351,6719.843001127243,0.0,0.0,1714.905,763.1759999999999,874.9010000000001,16.266,108.33800000000001,5.036,48.655,2820.165,594.9290000000001,0.0,42.897999999999996,
12,2014-04-08,1,6.25,0.0,0.5,0.21883338080995124,6288.100000381471,1.0,0.0,2295.449,1245.7549999999997,1180.435,229.23399999999998,0.0,98.882,57.417,2414.208,117.344,0.0,0.0,
13,2014-04-09,2,5.5,0.0,-0.5,0.18616946778711493,7730.909998893738,1.0,0.0,29624.727000000003,1683.83,915.415,0.0,179.81300000000002,37.25,31.793999999999997,2918.304,65.869,0.0,12.179,
14,2014-04-10,3,6.0,0.2,0.4,0.3431686467690524,12194.412998676298,0.0,0.0,3725.779,630.946,1943.876,38.118,5.149,142.697,63.61900000000001,6928.0689999999995,0.0,0.0,5.217,
15,2014-04-11,4,6.8,-0.75,1.0,0.1561259286323226,4107.395999193193,2.0,0.0,4421.330000000001,324.681,476.357,0.0,0.0,0.0,46.394999999999996,1653.5149999999999,232.48200000000003,0.0,0.0,
16,2014-04-12,5,6.6,0.2,0.8,0.08999151571159673,6131.769998550413,0.0,0.0,6838.0199999999995,1447.882,448.764,0.0,0.0,0.0,42.593,2700.1,166.563,0.0,12.068,
17,2014-04-13,6,6.2,0.2,0.4,0.15783558340693393,8717.332002162935,1.0,0.0,2295.247,1937.5170000000003,1122.219,0.0,0.0,56.277,96.333,3002.9089999999997,455.63199999999995,0.0,0.0,
