,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-04-01,1,8.0,-1.0,2.0,,1256.0679996013646,2.0,0.0,185.83299999999997,948.4329999999999,94.68499999999999,0.0,0.0,0.0,23.145,0.0,0.0,0.0,0.0,
1,2014-04-02,2,7.0,0.0,0.25,0.24726397485018184,5447.077998399738,5.0,2.0,465.8349999999999,1563.377,1009.9520000000001,0.0,0.0,31.127,78.798,13.199,0.0,0.0,0.0,
2,2014-04-03,3,8.0,0.0,0.25,0.18579545454545443,5689.611998319624,2.0,1.0,387.84000000000003,3375.5319999999997,6543.502000000001,0.0,0.0,112.429,84.48,0.0,319.217,0.0,0.0,
3,2014-04-04,4,8.0,-0.5,0.5,0.3095381526104419,4887.567001104355,1.0,3.0,183.867,3114.333,503.18300000000005,0.0,0.0,0.0,69.614,61.324,0.0,0.0,5.024,
4,2014-04-05,5,8.4,0.6,1.2,0.09914454277286135,3552.7230005264296,5.0,1.0,1187.592,1240.119,761.1,0.0,0.0,0.0,156.183,198.788,0.0,0.0,0.0,
5,2014-04-06,6,7.8,-0.6,0.4,0.08900750130560697,4970.34599852562,1.0,4.0,597.4960000000001,2943.1609999999996,1070.1929999999998,0.0,0.0,0.0,63.038,188.90499999999997,95.362,0.0,0.0,
6,2014-04-07,0,6.75,-0.75,-0.5,0.19277076337864107,5020.789999723435,11.0,8.0,1732.3339999999998,1959.7260000000003,1340.458,0.0,0.0,0.0,59.10699999999999,0.0,238.70600000000002,0.0,10.029,
7,2014-04-08,1,7.8,0.4,0.0,0.10720728618741471,4096.666001081466,1.0,0.0,691.8489999999999,2487.3189999999995,1416.817,0.0,0.0,0.0,68.688,48.579,0.0,0.0,0.0,
8,2014-04-09,2,7.666666666666667,0.0,0.3333333333333333,0.07002801120448193,2841.1480007171635,3.0,0.0,616.461,1769.797,2320.509,0.0,0.0,0.0,26.168999999999997,0.0,0.0,0.0,0.0,
9,2014-04-10,3,7.75,0.0,0.5,0.15737179487179476,6771.503999471664,14.0,2.0,799.4200000000001,4422.094000000001,1056.2120000000002,0.0,0.0,0.0,84.24900000000001,338.005,85.631,0.0,0.0,
10,2014-04-11,4,8.0,0.3333333333333333,0.3333333333333333,0.09991946753103344,4361.1259989738455,6.0,1.0,1423.884,2227.4,581.031,0.0,0.0,0.0,90.311,0.0,114.418,0.0,13.118,
11,2014-04-12,5,8.4,0.2,0.8,0.16078246728689213,2292.457000732422,5.0,1.0,347.89700000000005,1339.7529999999997,458.00299999999993,0.0,0.0,0.0,48.361999999999995,92.404,0.0,0.0,0.0,
12,2014-04-13,6,8.2,-1.2,0.8,0.07222866488254527,3070.0519986152653,6.0,1.0,266.488,1508.672,641.1540000000001,0.0,0.0,0.0,91.62800000000001,476.366,0.0,0.0,0.0,
13,2014-04-14,0,7.5,-1.0,0.0,0.16563650253489803,2543.542999267578,0.0,0.0,265.396,1832.926,364.00600000000003,0.0,0.0,0.0,39.441,0.0,32.605,0.0,0.0,
14,2014-04-15,1,7.5,0.5,0.5,0.374026568941823,1045.431000471114,5.0,1.0,270.007,489.17699999999996,277.597,0.0,0.0,0.0,6.269,0.0,0.0,0.0,0.0,
15,2014-04-16,2,8.75,0.75,1.0,0.34730219952677577,5013.491999149321,7.0,1.0,1407.4909999999998,1930.6570000000002,967.426,0.0,0.0,0.0,51.70700000000001,0.0,83.32900000000001,0.0,0.0,
16,2014-04-17,3,8.0,0.0,0.0,0.158119658119658,2104.838000297547,4.0,0.0,235.207,804.0770000000001,1962.693,0.0,0.0,0.0,16.27,363.157,160.6,0.0,0.0,
17,2014-04-18,4,9.0,1.0,1.0,0.0963855421686747,5467.142000436785,3.0,0.0,1646.6170000000004,2013.726,3638.9049999999997,0.0,0.0,0.0,123.866,7.189,249.68099999999998,0.0,0.0,
18,2014-04-21,0,7.0,-1.5,0.0,0.0770276292335115,12495.995000839235,4.0,1.0,1454.407,5202.325,685.477,0.0,0.0,0.0,56.343,339.537,0.0,0.0,0.0,
19,2014-04-23,2,7.0,-0.4,0.0,0.21985272303454115,13789.976998329152,7.0,1.0,1650.6740000000002,5583.037,1665.391,0.0,0.0,0.0,294.57,701.307,348.53499999999997,0.0,0.0,
20,2014-04-24,3,7.5,0.0,0.5,0.0,4012.3219993114462,9.0,0.0,1125.2009999999998,2021.46,420.72400000000005,0.0,0.0,0.0,24.29,112.34,0.0,0.0,0.0,
21,2014-04-25,4,8.0,-1.0,0.0,0.0583333333333333,3340.8990004062643,2.0,1.0,181.88099999999997,2592.986,173.759,0.0,0.0,0.0,7.036,349.70599999999996,24.266,0.0,0.0,
22,2014-04-27,6,7.5,0.0,0.5,0.2833333333333335,23875.57700014115,8.0,0.0,2388.112,4776.8949999999995,1922.2109999999998,0.0,0.0,0.0,246.98,238.34699999999998,132.85,0.0,447.418,
23,2014-04-28,0,7.25,-0.25,0.0,0.00630252100840335,2875.7249996662135,5.0,0.0,2220.056,1296.7359999999999,4932.482999999999,0.0,0.0,0.0,29.336,164.862,0.0,0.0,0.0,
24,2014-04-29,1,8.0,1.0,0.6666666666666666,0.19869895326551648,6823.748999834066,7.0,0.0,245.585,3142.433,546.189,0.0,0.0,0.0,97.55099999999999,0.0,70.423,0.0,0.0,
25,2014-04-30,2,7.333333333333333,0.3333333333333333,0.6666666666666666,0.0240527884206045,6535.839999437335,3.0,2.0,285.972,1064.108,485.05300000000005,0.0,0.0,0.0,45.812000000000005,0.0,103.49000000000001,0.0,0.0,
26,2014-05-01,3,7.0,-0.6666666666666666,0.3333333333333333,0.2232194311180901,4568.699999570847,12.0,1.0,740.534,3185.4530000000004,952.575,0.0,0.0,0.0,38.757,0.0,0.0,0.0,0.0,
27,2014-05-02,4,7.25,-0.5,0.0,0.11066492640305703,4300.139000654221,10.0,0.0,570.492,2808.42,834.178,0.0,0.0,0.0,45.272000000000006,0.0,32.361,0.0,0.0,
28,2014-05-03,5,7.5,-0.5,0.5,0.0204918032786885,1497.1340003013606,1.0,0.0,85.61800000000001,1292.4650000000001,134.62800000000001,0.0,0.0,0.0,14.111,0.0,57.594,0.0,0.0,
29,2014-05-04,6,8.666666666666666,0.3333333333333333,1.0,0.31001907952906155,3411.1609995365134,1.0,1.0,300.633,2323.1589999999997,320.42500000000007,0.0,0.0,0.0,26.275,430.094,0.0,0.0,0.0,
30,2014-05-05,0,7.0,-0.75,0.0,0.017097701149425302,6337.986000061032,16.0,0.0,1738.532,4024.7939999999994,1883.3600000000001,0.0,0.0,0.0,178.476,341.933,0.0,0.0,0.0,
31,2014-05-07,2,6.25,-0.75,-0.25,0.029132513661202102,7823.645998716354,18.0,0.0,1166.938,5786.571,1924.839,0.0,0.0,0.0,108.536,1.007,113.693,0.0,0.0,
32,2014-05-08,3,6.25,-1.0,0.0,0.1858797446857861,5314.927000284193,14.0,2.0,2752.855,3607.9610000000002,476.90200000000004,0.0,0.0,0.0,71.615,0.0,0.0,0.0,0.0,
33,2014-05-09,4,7.0,-0.75,0.25,0.1635429798757998,5022.85599756241,8.0,0.0,991.056,2400.7290000000003,1128.859,0.0,0.0,0.0,35.437999999999995,0.0,540.9680000000001,0.0,0.0,
34,2014-05-10,5,7.5,-0.5,0.5,0.0810483870967742,3392.608000516891,6.0,0.0,369.507,2094.1910000000003,2981.159,0.0,0.0,0.0,40.39,1881.155,494.335,0.0,0.0,
35,2014-05-11,6,7.25,-1.25,0.5,0.01670547718092483,2864.543000459672,7.0,0.0,1001.2740000000001,1438.426,464.016,0.0,0.0,6.036,239.92499999999998,0.0,206.94299999999998,0.0,0.0,
36,2014-05-12,0,7.333333333333333,-1.3333333333333333,0.3333333333333333,0.19999999999999998,1703.9000000953674,0.0,0.0,0.0,1311.156,379.827,0.0,0.0,0.0,11.16,0.0,0.0,0.0,0.0,
