,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-03-21,4,6.2,-0.2,0.0,0.3036549707602338,5087.190999031067,8.0,0.0,2438.638,2675.8660000000004,214.909,98.031,0.0,0.0,199.47999999999996,1062.223,63.638,0.0,0.0,
1,2014-03-22,5,6.0,-0.4,0.2,0.20015599343185553,13529.101000070572,1.0,0.0,3759.572,3114.195,355.43899999999996,588.468,0.0,0.0,4733.93,1701.18,0.0,0.0,0.0,
2,2014-03-23,6,6.0,-0.8,0.2,0.22223088911867386,11957.554001569748,0.0,0.0,6900.162,4872.399,564.806,167.64500000000004,0.0,0.0,315.184,1741.218,0.0,0.0,12.133,
3,2014-03-24,0,6.25,-0.75,0.25,0.1366841491841491,9925.375000953674,0.0,0.0,2925.9030000000002,4556.97,465.08599999999996,868.4489999999998,0.0,0.0,399.68199999999996,795.3670000000001,210.029,0.0,0.0,
4,2014-03-25,1,5.75,-0.5,-0.25,0.1670454545454545,12379.00699996948,0.0,0.0,3208.3409999999994,6845.562999999998,0.0,258.053,0.0,0.0,150.765,1170.129,1231.8730000000003,0.0,0.0,
5,2014-03-26,2,7.0,-0.2,1.0,0.15003719324015666,13420.457998752594,2.0,2.0,5433.363000000001,4679.744,517.605,125.511,0.0,0.0,3323.555,1223.972,341.83899999999994,0.0,0.0,
6,2014-03-27,3,6.6,-1.0,0.8,0.09516712285503746,10989.217000484467,1.0,0.0,2019.2529999999997,7348.05,245.311,155.584,0.0,0.0,50.378,1460.6,1.008,0.0,0.0,
7,2014-03-28,4,6.4,-0.4,0.6,0.10596491228070173,12578.988001346588,1.0,0.0,6116.08,7528.83,161.928,223.365,0.0,0.0,355.4549999999999,1373.3660000000002,0.0,13.838000000000001,0.0,
8,2014-03-29,5,7.5,-0.25,1.25,0.18333333333333315,5470.223997831346,0.0,0.0,3201.036,4035.6500000000005,11.45,142.499,0.0,0.0,35.336,908.158,0.0,0.0,0.0,
9,2014-03-30,6,7.5,-1.0,1.0,0.12343404568902011,4324.708000421526,2.0,1.0,21660.585999999996,1581.0549999999998,0.0,12.562,0.0,0.0,19.316000000000003,0.0,0.0,0.0,0.0,
10,2014-03-31,0,6.5,-0.5,0.75,0.09656862745098033,2732.52799963951,4.0,2.0,8419.646999999999,983.581,0.0,0.0,0.0,0.0,44.403,0.0,0.0,0.0,0.0,
11,2014-04-01,1,6.2,-0.2,0.4,0.09926257459505547,782.1510000228884,0.0,0.0,558.2800000000001,153.39,0.0,0.0,0.0,0.0,37.164,32.446,0.0,0.0,0.0,
12,2014-04-02,2,7.0,0.0,1.0,0.1,694.5069994926453,0.0,0.0,1532.471,160.76300000000003,0.0,0.0,0.0,0.0,18.108,0.0,0.0,0.0,0.0,
13,2014-04-03,3,7.0,-0.3333333333333333,1.0,0.15318146249004352,1838.257999420168,0.0,0.0,1436.4000000000003,15.283,0.0,0.0,0.0,0.0,52.776,71.732,0.0,0.0,0.0,
14,2014-04-04,4,8.0,-1.5,1.0,0.03017241379310345,945.1319992542269,0.0,0.0,449.28099999999995,395.003,0.0,8.059,0.0,0.0,44.574,46.582,0.0,0.0,0.0,
15,2014-04-05,5,7.4,-1.6,0.6,0.05005649717514118,1477.9290001392365,0.0,0.0,715.781,743.405,0.0,0.0,0.0,3.011,51.643,79.28,0.0,0.0,0.0,
16,2014-04-06,6,7.6,-1.0,1.0,0.040196078431372455,1149.3340008258815,1.0,0.0,2461.411,4213.769,0.0,0.0,0.0,0.0,54.746,109.67500000000001,0.0,0.0,0.0,
17,2014-04-07,0,6.8,-0.2,0.8,0.022241379310344818,560.0080003738403,0.0,1.0,320.24000000000007,2606.545,0.0,0.0,0.0,0.0,91.679,18.333,0.0,0.0,0.0,
18,2014-04-08,1,7.0,-0.2,1.0,0.09837535014005602,596.4229991436005,1.0,0.0,6340.527999999999,126.84800000000001,0.0,0.0,0.0,0.0,39.255,115.61099999999999,0.0,0.0,0.0,
19,2014-04-09,2,7.666666666666667,0.3333333333333333,1.0,0.21111111111111125,1053.4430003166206,0.0,0.0,34863.685000000005,91.37199999999999,0.0,0.0,0.0,0.0,36.435,13.054,0.0,0.0,0.0,
20,2014-04-10,3,7.333333333333333,-0.3333333333333333,1.0,0.08902894491129772,432.7759995460509,0.0,0.0,423.01800000000003,94.086,0.0,0.0,0.0,0.0,22.265,0.0,0.0,0.0,0.0,
21,2014-04-11,4,7.25,0.5,1.0,0.002083333333333325,957.853000164032,2.0,0.0,6259.931,19.197,0.0,0.0,0.0,0.0,63.611999999999995,91.69500000000001,0.0,0.0,0.0,
22,2014-04-12,5,7.5,0.0,1.0,0.01666666666666665,179.72200012207026,0.0,0.0,156.127,0.0,0.0,0.0,0.0,0.0,14.100999999999999,4.026,0.0,0.0,0.0,
23,2014-04-14,0,7.5,0.0,1.0,0.0708333333333335,169.2459998130799,0.0,0.0,77.975,0.0,0.0,0.0,0.0,0.0,2911.8149999999996,0.0,0.0,0.0,0.0,
