,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-04-02,2,8.666666666666666,0.6666666666666666,1.6666666666666667,0.24968357056350174,1776.009999752045,0.0,0.0,215.401,609.529,7.023,0.0,0.0,210.16700000000003,89.645,0.0,0.0,0.0,14.126000000000001,
1,2014-04-03,3,7.75,-1.0,0.75,0.26781609195402317,2863.05999994278,0.0,0.0,127.80099999999999,1650.434,0.0,0.0,0.0,503.83399999999995,126.819,2317.678,90.71700000000001,0.0,0.0,
2,2014-04-04,4,7.75,-1.0,0.25,0.10753205128205137,3147.0029990673065,0.0,0.0,12.236999999999998,1165.228,0.0,0.0,0.0,983.8319999999999,94.467,1731.23,0.0,0.0,0.0,
3,2014-04-05,5,8.0,0.4,0.8,0.2994117647058825,6731.97200012207,1.0,2.0,159.358,1460.0020000000002,172.06599999999997,0.0,0.0,742.1939999999998,87.75800000000001,2841.5570000000002,1094.894,0.0,0.0,
4,2014-04-06,6,7.75,0.375,0.875,0.24219632768361593,7660.144999265667,0.0,6.0,238.94299999999998,2860.7329999999997,0.0,0.0,0.0,419.28,60.246,4446.892,0.0,0.0,0.0,
5,2014-04-07,0,7.2,-0.8,0.2,0.2469774011299434,12952.353000879288,0.0,0.0,195.96900000000002,1731.5120000000002,47.142,0.0,0.0,720.709,381.01099999999997,10018.467,0.0,0.0,15.058,
6,2014-04-08,1,8.0,-0.6,1.0,0.27307482135350974,13878.472000360489,0.0,4.0,1257.123,5313.891999999999,696.8,0.0,0.0,1467.348,77.508,4991.847000000001,182.989,0.0,0.0,
7,2014-04-09,2,7.2,0.2,0.2,0.15499999999999994,6966.941001415254,0.0,0.0,262.183,2254.4970000000003,0.0,0.0,0.0,417.382,58.575,3972.1639999999998,0.0,0.0,0.0,
8,2014-04-10,3,8.6,0.0,1.4,0.1222936259143157,6088.134997844692,1.0,1.0,302.47,2353.5420000000004,28.123,0.0,0.0,844.691,720.3349999999999,3444.5049999999997,0.0,0.0,2.0149999999999997,
9,2014-04-11,4,7.2,0.4,0.6,0.09680906212532472,6071.51499938965,0.0,2.0,129.487,1718.632,92.044,27.183,0.0,301.30199999999996,58.258,3763.7709999999993,0.0,0.0,0.0,
10,2014-04-12,5,8.0,0.75,0.75,0.14726907682183404,6311.298999071125,0.0,1.0,80.638,2688.9990000000003,126.05799999999999,0.0,0.0,1048.0149999999999,65.54299999999999,2185.309,110.16,0.0,4.041,
11,2014-04-13,6,8.6,0.2,0.8,0.14114847534910227,5231.127998113627,0.0,0.0,402.61600000000004,2710.4170000000004,0.0,0.0,0.0,465.259,68.572,1450.295,205.929,0.0,0.0,
12,2014-04-14,0,8.0,-0.4,1.0,0.2895495495495496,12676.797001838684,0.0,0.0,325.74600000000004,1987.7169999999999,91.46900000000001,0.0,0.0,853.8500000000001,157.40200000000002,5495.7029999999995,0.0,0.0,0.0,
13,2014-04-15,1,8.0,-0.25,1.0,0.31180555555555567,8574.914996623993,0.0,1.0,116.092,4388.001,43.160000000000004,0.0,0.0,828.6659999999999,86.509,4073.52,0.0,0.0,0.0,
14,2014-04-16,2,7.8,-0.2,1.0,0.03746315917671408,10854.89599943161,1.0,5.0,283.995,2730.119,2162.963,1.004,0.0,602.8699999999999,123.944,4582.937,410.731,0.0,0.0,
15,2014-04-17,3,7.8,0.2,0.8,0.20338398597311533,9881.322999238964,2.0,4.0,218.36100000000002,9623.851,0.0,0.0,0.0,876.446,86.369,5287.7119999999995,0.0,0.0,3.018,
16,2014-04-18,4,7.75,0.75,0.25,0.08904287213978163,4697.617000102995,1.0,1.0,531.807,1769.089,22.31,0.0,0.0,519.8,94.31899999999999,2197.2959999999994,134.316,0.0,0.0,
17,2014-04-19,5,7.0,-0.8,0.2,0.10499999999999994,9556.430999755858,1.0,3.0,273.875,2935.531,487.892,0.0,0.0,1239.2829999999997,89.583,5134.238,30.28,0.0,4.031,
18,2014-04-20,6,8.0,-0.25,0.75,0.01875,4349.586000442505,0.0,0.0,196.6,897.621,0.0,0.0,0.0,33059.914000000004,73.36500000000001,2740.833,0.0,0.0,0.0,
19,2014-04-21,0,7.2,0.0,0.6,0.18206896551724144,4618.930000066759,0.0,0.0,42.066,1718.513,0.0,0.0,0.0,401.768,208.02700000000002,2337.227,0.0,0.0,0.0,
20,2014-04-22,1,6.4,-0.8,0.0,0.27552100998680984,11670.158999204636,3.0,9.0,1517.5349999999999,4632.670999999999,156.89,0.0,0.0,1414.208,47.480999999999995,3669.1639999999998,246.27799999999996,0.0,8.087,
21,2014-04-23,2,7.6,0.8,0.6,0.14136265574780962,8298.43900132179,4.0,3.0,442.852,2579.3900000000003,0.0,0.0,0.0,1680.146,39.341,1022.162,848.971,0.0,27.062,
22,2014-04-24,3,7.6,0.2,0.8,0.31930459140177814,13235.911001682285,0.0,3.0,478.943,3471.1869999999994,1486.723,0.0,0.0,1181.589,42.222,6212.27,251.87,0.0,0.0,
23,2014-04-25,4,7.75,-0.25,0.75,0.1869408201304752,4683.155001878738,0.0,1.0,543.6999999999999,3205.4170000000004,0.0,0.0,0.0,616.808,36.181999999999995,517.524,414.56300000000005,0.0,3.0600000000000005,
24,2014-04-26,5,6.5,0.25,0.25,0.2992824176454209,7353.447002410888,2.0,4.0,561.476,3591.521,0.0,0.0,0.0,1250.8159999999998,127.607,1637.1070000000002,156.627,0.0,0.0,
25,2014-04-27,6,6.0,-0.5,0.0,0.023921277997364924,6601.476000308992,0.0,0.0,1317.0420000000001,941.5949999999999,317.902,0.0,0.0,314.41700000000003,88.278,4582.991999999999,0.0,0.0,0.0,
26,2014-04-28,0,6.8,-0.8,0.2,0.14238284703801937,8928.260000228882,0.0,0.0,582.021,1934.9370000000001,0.0,0.0,0.0,698.4600000000002,49.244,5427.889,457.693,0.0,0.0,
27,2014-04-29,1,7.4,0.2,0.6,0.24267807949626138,12276.628998279568,0.0,1.0,961.3299999999999,3084.286,2914.9000000000005,68.332,0.0,1233.687,61.41599999999999,4107.25,0.0,0.0,0.0,
28,2014-04-30,2,8.0,0.2,0.6,0.38235259958696216,8789.164999961853,1.0,2.0,2067.317,2792.193,915.7549999999999,0.0,0.0,1196.5430000000001,60.324,1978.916,86.15,0.0,0.0,
29,2014-05-01,3,7.8,-0.6,0.4,0.05668756027000956,8378.197999477385,0.0,0.0,338.68199999999996,4447.066,0.0,0.0,0.0,2045.1530000000002,35.122,3303.6720000000005,0.0,0.0,0.0,
30,2014-05-03,5,7.0,2.0,0.0,0.117647058823529,4358.377000093461,0.0,7.0,1763.493,1117.237,0.0,0.0,0.0,1046.389,7.045,343.40500000000003,157.998,0.0,2.299,
31,2014-05-04,6,8.5,0.0,1.0,0.195545977011494,3224.295000076294,0.0,9.0,1267.2630000000001,1086.0839999999998,34.317,0.0,0.0,11563.832000000002,31.153,254.527,0.0,0.0,0.0,
32,2014-05-05,0,7.0,-0.6666666666666666,0.6666666666666666,0.363888888888889,2805.216000318527,1.0,0.0,28.884,861.7950000000001,0.0,0.0,0.0,542.425,25.105,1470.538,38.32,0.0,0.0,
33,2014-05-07,2,8.0,0.0,0.8,0.11425925925925925,20413.368000030518,9.0,17.0,1055.3809999999999,3741.998,0.0,0.0,0.0,2360.8030000000003,1013.0360000000001,5439.138000000001,294.35699999999997,0.0,0.0,
34,2014-05-08,3,7.6,-0.2,1.0,0.046038204278999115,7976.657003164292,0.0,1.0,126.38400000000001,3574.8869999999997,13.125,0.0,0.0,1812.1219999999998,38.856,3017.4919999999997,0.0,0.0,0.0,
35,2014-05-09,4,7.4,0.2,0.8,0.14567287784679092,11150.843001842499,2.0,1.0,470.957,3637.4249999999997,1281.712,65.333,0.0,478.32399999999996,990.1809999999999,4224.82,0.0,0.0,0.0,
36,2014-05-10,5,7.0,-0.6,0.2,0.1540050707462473,14382.901998758321,1.0,1.0,271.37,7151.058,28.157,0.0,0.0,1217.0760000000002,211.487,5594.12,0.0,0.0,3.0940000000000003,
37,2014-05-11,6,7.2,-0.4,0.6,0.05963238742964362,12734.053000688551,0.0,0.0,167.362,4820.657,0.0,0.0,0.0,605.915,58.30199999999999,7025.457,53.644,0.0,0.0,
38,2014-05-12,0,7.6,-0.2,0.6,0.2640078452363651,12167.84800028801,0.0,5.0,653.3820000000001,5043.8279999999995,844.7360000000001,0.0,0.0,897.749,48.28,5312.979,21.286,0.0,0.0,
39,2014-05-13,1,7.8,0.4,0.8,0.17816879928014764,10898.379000902176,2.0,7.0,536.476,5657.556,13.104,0.0,0.0,756.024,509.74299999999994,3653.7929999999997,0.0,0.0,28.22,
40,2014-05-14,2,9.0,0.0,1.0,0.175,4824.8339993953705,0.0,0.0,41.644,2388.8429999999994,53.247,0.0,0.0,252.058,8.043,4297.6939999999995,0.0,0.0,0.0,
