,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-03-14,4,6.333333333333333,-0.6666666666666666,0.3333333333333333,,243.0460002422333,143.0,32.0,269.401,35.161,0.0,0.0,0.0,0.0,172.527,0.0,0.0,0.0,0.0,
1,2014-03-15,5,6.75,1.0,0.5,,165.01700019836426,8.0,0.0,40.43300000000001,124.345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
2,2014-03-17,0,6.2,0.2,-0.2,,0.694999933242798,8.0,0.0,6.644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
3,2014-03-18,1,7.0,0.2,1.0,0.35972850678733054,2238.7880001068124,5.0,0.0,1242.53,846.9929999999999,5.019,0.0,0.0,45.186,54.256,0.0,31.162,0.0,17.082,
4,2014-03-19,2,7.4,0.2,1.2,,975.84099984169,7.0,0.0,106.52499999999999,933.754,0.0,0.0,0.0,0.0,0.0,0.0,63.39,0.0,0.0,
5,2014-03-21,4,6.8,0.4,0.8,0.0,1887.7069995403294,6.0,0.0,1223.6770000000001,1009.3040000000001,0.0,0.0,0.0,0.0,7.064,0.0,0.0,0.0,0.0,
6,2014-03-22,5,7.2,-0.6,1.0,0.3018207282913164,597.6230003833766,4.0,0.0,451.533,113.673,0.0,0.0,0.0,3.01,29.223000000000003,0.0,0.0,0.0,0.0,
7,2014-03-23,6,7.0,0.6,1.0,0.00543478260869565,562.4420001506809,0.0,0.0,29.590999999999998,522.718,0.0,0.0,0.0,0.0,10.102,0.0,0.0,0.0,0.0,
8,2014-03-24,0,7.0,0.6,0.8,0.0,326.5949997901914,0.0,0.0,258.77700000000004,38.207,0.0,0.0,0.0,21.464,8.046,0.0,0.0,0.0,0.0,
9,2014-03-25,1,7.0,0.8,1.0,0.0,1444.801000356674,0.0,0.0,554.5230000000001,890.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
10,2014-03-26,2,7.2,1.4,0.8,0.32870370370370366,3024.2059993743906,7.0,3.0,557.558,2571.7880000000005,0.0,0.0,0.0,0.0,32.144,0.0,62.299,0.0,0.0,
11,2014-03-27,3,7.0,1.0,1.0,,1924.9290001392353,13.0,0.0,331.12300000000005,1278.903,0.0,0.0,0.0,0.0,364.032,0.0,0.0,0.0,0.0,
12,2014-03-28,4,7.0,1.4,1.0,0.0714285714285714,1583.144999980926,6.0,0.0,596.674,1039.388,0.0,0.0,0.0,0.0,7.021,0.0,0.0,0.0,48.229,
13,2014-03-29,5,7.2,-1.2,0.8,0.392857142857143,194.70199966430664,11.0,0.0,122.67500000000001,3.016,0.0,0.0,0.0,9.039,10.032,49.613,0.0,0.0,0.0,
14,2014-03-30,6,7.4,-0.6,1.0,,1070.5850005149844,6.0,0.0,589.299,325.968,0.0,0.0,0.0,0.0,0.0,155.979,0.0,0.0,0.0,
15,2014-04-01,1,7.2,0.6,1.0,,769.8550000190736,1.0,5.0,288.358,734.8209999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
16,2014-04-02,2,7.2,0.8,1.0,0.166666666666667,533.2609996795654,3.0,1.0,226.125,284.815,0.0,0.0,0.0,0.0,8.031,14.121,0.0,0.0,0.0,
