,time,weekday,mood,circumplex.arousal,circumplex.valence,activity,screen,call,sms,appCat.builtin,appCat.communication,appCat.entertainment,appCat.finance,appCat.game,appCat.office,appCat.other,appCat.social,appCat.travel,appCat.unknown,appCat.utilities,appCat.weather
0,2014-03-31,0,7.0,1.0,1.0,0.0681818181818182,1485.7029995918267,0.0,0.0,666.659,50.088,181.001,159.49699999999999,0.0,0.0,17.445,522.543,0.0,0.0,6.177,
1,2014-04-01,1,7.25,0.0,-0.5,0.13352580104298648,8682.213999271393,2.0,0.0,3792.3770000000004,2973.3870000000006,11.341,56.471000000000004,456.729,0.0,107.22,2278.649,350.225,0.0,0.0,
2,2014-04-02,2,6.6,-0.2,0.2,0.06864413476989537,10233.603001117704,2.0,0.0,2199.5210000000006,2595.995,628.1980000000001,290.681,0.0,0.0,102.685,2811.6639999999998,160.134,0.0,565.682,
3,2014-04-03,3,8.2,0.2,1.5,0.21622822010159987,10295.36200094224,0.0,0.0,6785.6810000000005,2905.477,1259.622,37.822,63.557,0.0,99.76299999999999,2869.26,153.465,0.0,15.066,
4,2014-04-04,4,5.5,-0.5,-0.3333333333333333,0.2081931595178023,12162.208001613615,3.0,0.0,3315.77,5539.138,91.771,34.124,194.18400000000003,0.0,90.677,2320.994,236.29299999999998,11.044,163.92399999999995,
5,2014-04-05,5,7.6,-0.8,0.8,0.04299079768171309,9173.908998012543,0.0,0.0,2194.7430000000004,1798.157,743.963,0.0,132.68900000000002,0.0,95.36,2350.6180000000004,0.0,8.355,545.1400000000001,
6,2014-04-06,6,7.2,-0.8,0.6,0.0520612034470459,6174.422999620438,0.0,0.0,902.521,1017.1440000000001,173.219,0.0,172.141,0.0,59.913000000000004,2784.416,0.0,21.088,0.0,
7,2014-04-07,0,8.0,0.0,1.25,0.2939655172413792,8699.253000974652,0.0,0.0,10873.448,2277.459,1015.344,0.0,102.25900000000001,0.0,69.924,2329.268,305.136,0.0,0.0,
8,2014-04-08,1,7.6,0.0,0.8,0.13895310364148356,10304.314003229147,0.0,0.0,5958.146999999999,3648.5009999999993,301.85200000000003,23.637999999999998,142.77100000000002,0.0,54.382999999999996,3283.6850000000004,120.94899999999998,19.103,0.0,
9,2014-04-09,2,8.0,-1.0,1.5,0.26025910364145666,12544.427999258038,0.0,1.0,2696.188,1774.693,230.748,93.374,4.021,0.0,200.07999999999998,2161.25,0.0,0.0,6.101,
10,2014-04-10,3,7.0,-1.0,0.5,0.24765926094451576,4861.355998277664,0.0,0.0,3367.0999999999995,1972.1960000000001,132.966,23.455,0.0,0.0,82.054,869.4340000000001,185.501,0.0,0.0,
11,2014-04-11,4,7.2,-0.4,0.0,0.309120308651215,26584.23599791526,10.0,8.0,3725.0090000000005,5309.581999999999,817.921,145.31500000000003,108.07600000000001,0.0,116.1,1760.546,1948.109,0.0,15.936,
12,2014-04-12,5,8.0,-1.0,1.2,0.1043936680150542,13043.328001976011,0.0,0.0,3310.7979999999993,4113.2570000000005,558.338,46.519000000000005,986.146,0.0,74.11200000000001,3164.103,0.0,50.387,960.4370000000001,
13,2014-04-13,6,7.0,-0.25,0.6666666666666666,0.08903360977320914,10014.972001075745,2.0,0.0,1965.976,3860.379,258.271,0.0,378.54999999999995,0.0,59.692,3035.2169999999996,0.0,0.0,153.529,
14,2014-04-14,0,7.0,-1.0,0.5,0.3061666200797905,10235.53700208664,0.0,1.0,5164.2119999999995,4775.044,38.197,45.421,94.11,0.0,57.842,1779.0629999999999,7.27,30.054,327.85900000000004,
15,2014-04-15,1,6.6,-0.4,0.4,0.35214964853632136,9136.032999277111,0.0,0.0,3418.3810000000003,2861.919,0.0,153.303,838.002,0.0,99.044,2193.841,0.0,0.0,2.097,
16,2014-04-16,2,7.0,0.0,0.375,0.05208333333333333,9998.864999771115,0.0,0.0,3689.5389999999998,3440.4350000000004,32.317,76.49600000000001,109.435,0.0,57.605000000000004,4500.8189999999995,0.0,0.0,0.0,
17,2014-04-17,3,7.6,0.0,0.5,0.32333747396648516,9629.948999166487,2.0,0.0,1794.3200000000002,1617.855,2029.509,0.0,0.0,0.0,62.882,3120.5120000000006,0.0,0.0,0.0,
18,2014-04-18,4,6.2,-0.2,0.3333333333333333,0.0950470328145997,12246.568997859955,0.0,0.0,3201.094,3248.236,317.16100000000006,235.684,1133.5420000000001,0.0,53.504999999999995,1929.575,143.316,30.667,1304.114,
19,2014-04-19,5,6.25,-0.5,-0.3333333333333333,0.034901792524790226,5543.345999479294,1.0,0.0,929.24,751.791,274.017,13.427,0.0,0.0,43.691,1623.981,0.0,18.08,1162.0819999999999,
